,symbol,quoteTimeInLong,isDelayed,exchangeName,last,lastSize,delta,volatility,openInterest,totalVolume,strikePrice,underlyingPrice,moneyness,percentInTheMoney,collateral,percentAnnualPtnlReturn,daysToEarnings,daysBtwnExprErngs,expirationDate,daysToExpiration,Risk,MACD_Rating,SMA_Rating,RSI_Rating,Support1,Support2,Resistance1,Resistance2,PNF_Rating
0,APD_111822P240,1667591999437,True,OPR,0.43,0,0.957,42.342,330,22,240.0,276.375,0.0,-13.161465400271371,43.0,3.514007894483489,86.0,73.0,1668805200000,13,safe,1.0,1.0,1,225.0,227.0,276.0,248.0,c
1,COP_121622P95,1667591988248,True,OPR,0.38,0,0.965,56.746,380,5,95.0,130.875,0.0,-27.411652340019106,38.0,3.291974282658833,85.0,44.0,1671224400000,41,safe,1.0,1.0,1,116.0,114.0,138.0,123.0,c
2,COP_121622P97.5,1667591995672,True,OPR,0.5,0,0.959,54.404,337,8,97.5,130.875,0.0,-25.501432664756447,50.0,3.4832442640736123,85.0,44.0,1671224400000,41,safe,1.0,1.0,1,116.0,114.0,138.0,123.0,c
3,COP_121622P100,1667591996046,True,OPR,0.55,0,0.95,52.848,709,77,100.0,130.875,0.0,-23.591212989493794,55.00000000000001,4.383675130088654,85.0,44.0,1671224400000,41,safe,1.0,1.0,1,116.0,114.0,138.0,123.0,c
4,MPC_121622P90,1667591981567,True,OPR,0.41,0,0.95,49.991,229,12,90.0,117.97999999999999,0.0,-23.715884048143746,41.0,4.1739499779458615,84.0,43.0,1671224400000,41,safe,1.0,1.0,1,104.0,103.0,119.0,110.0,c
5,APD_111822P250,1667591999436,True,OPR,1.0,0,0.921,36.757,259,7,250.0,276.375,0.0,-9.543193125282677,100.0,7.319029476639264,86.0,73.0,1668805200000,13,moderate,1.0,1.0,1,225.0,227.0,276.0,248.0,c
6,APD_121622P230,1667591999473,True,OPR,1.4,0,0.931,38.604,2148,11,230.0,276.375,0.0,-16.779737675260066,140.0,3.4972479799001395,86.0,45.0,1671224400000,41,moderate,1.0,1.0,1,225.0,227.0,276.0,248.0,c
7,COP_111122P121,1667591998077,True,OPR,0.35,0,0.918,45.727,25,6,121.0,130.875,0.0,-7.545367717287488,35.0,14.109785730064061,85.0,79.0,1668200400000,6,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
8,COP_111122P122,1667591997956,True,OPR,0.4,0,0.9,45.197,70,45,122.0,130.875,0.0,-6.781279847182425,40.0,18.003946070371587,85.0,79.0,1668200400000,6,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
9,COP_111822P115,1667591997006,True,OPR,0.41,0,0.931,47.999,1523,2555,115.0,130.875,0.0,-12.12989493791786,41.0,8.325618215728106,85.0,72.0,1668805200000,13,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
10,COP_111822P116,1667591995824,True,OPR,0.61,0,0.922,47.198,78,14,116.0,130.875,0.0,-11.3658070678128,61.0,9.715198296513178,85.0,72.0,1668805200000,13,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
11,COP_112522P115,1667591996827,True,OPR,0.4,0,0.906,45.145,4,5,115.0,130.875,0.0,-12.12989493791786,40.0,9.57167832167832,85.0,65.0,1669410000000,20,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
12,COP_120222P110,1667591997365,True,OPR,0.79,0,0.926,47.481,56,25,110.0,130.875,0.0,-15.950334288443171,79.0,7.0415384771594205,85.0,58.0,1670014800000,27,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
13,COP_120922P105,1667591997119,True,OPR,0.65,0,0.9410000000000001,49.808,2,60,105.0,130.875,0.0,-19.770773638968482,65.0,5.136504362510554,85.0,51.0,1670619600000,34,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
14,COP_120922P110,1667591998307,True,OPR,0.89,0,0.907,47.157,7,11,110.0,130.875,0.0,-15.950334288443171,89.0,8.161852264951046,85.0,51.0,1670619600000,34,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
15,COP_121622P105,1667591995676,True,OPR,0.85,0,0.925,49.922,707,31,105.0,130.875,0.0,-19.770773638968482,85.0,6.490650094528575,85.0,44.0,1671224400000,41,moderate,1.0,1.0,1,116.0,114.0,138.0,123.0,c
16,MPC_111122P109,1667591999686,True,OPR,0.26,0,0.907,41.325,59,414,109.0,117.97999999999999,0.0,-7.611459569418537,26.0,15.667157223448616,84.0,78.0,1668200400000,6,moderate,1.0,1.0,1,104.0,103.0,119.0,110.0,c
17,MPC_120222P101,1667591999643,True,OPR,0.59,0,0.904,42.892,14,5,101.0,117.97999999999999,0.0,-14.392269876250205,59.0,8.349752422276831,84.0,57.0,1670014800000,27,moderate,1.0,1.0,1,104.0,103.0,119.0,110.0,c
18,MPC_121622P95,1667591995947,True,OPR,0.69,0,0.921,46.516,863,23,95.0,117.97999999999999,0.0,-19.477877606373955,69.0,6.418213037092204,84.0,43.0,1671224400000,41,moderate,1.0,1.0,1,104.0,103.0,119.0,110.0,c
19,NDAQ_121622P53.33,1667591998039,True,OPR,0.4,0,0.904,35.027,257,23,53.33,61.835,0.0,-13.754346244036553,40.0,4.192934732663077,77.0,36.0,1671224400000,41,moderate,1.0,1.0,1,55.0,57.0,62.0,60.0,c
20,APD_111822P260,1667591999438,True,OPR,1.56,0,0.8280000000000001,33.837,132,10,260.0,276.375,0.0,-5.924920850293985,156.0,15.200190374204292,86.0,73.0,1668805200000,13,risky,1.0,1.0,1,225.0,227.0,276.0,248.0,c
21,APD_121622P240,1667591999562,True,OPR,1.9,0,0.891,35.988,807,19,240.0,276.375,0.0,-13.161465400271371,190.0,6.350879706866729,86.0,45.0,1671224400000,41,risky,1.0,1.0,1,225.0,227.0,276.0,248.0,c
22,APD_121622P250,1667591992951,True,OPR,3.3,0,0.832,33.397,284,31,250.0,276.375,0.0,-9.543193125282677,330.0,9.537684824998644,86.0,45.0,1671224400000,41,risky,1.0,1.0,1,225.0,227.0,276.0,248.0,c
23,AJG_111822P175,1667591971796,True,OPR,0.75,0,0.88,32.755,720,40,175.0,189.025,0.0,-7.419653484988761,75.0,9.659491884262525,78.0,65.0,1668805200000,13,risky,1.0,1.0,1,174.0,170.0,188.0,180.0,b
24,COP_111122P123,1667591997626,True,OPR,0.84,0,0.88,44.448,51,14,123.0,130.875,0.0,-6.017191977077363,84.0,21.839643167972152,85.0,79.0,1668200400000,6,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
25,COP_111122P124,1667591998654,True,OPR,1.01,0,0.857,43.718,55,67,124.0,130.875,0.0,-5.253104106972302,101.0,27.10274065073579,85.0,79.0,1668200400000,6,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
26,COP_111122P125,1667591998352,True,OPR,0.79,0,0.83,43.036,166,164,125.0,130.875,0.0,-4.48901623686724,79.0,33.274345774345775,85.0,79.0,1668200400000,6,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
27,COP_111122P126,1667591997829,True,OPR,0.94,0,0.8,42.323,164,117,126.0,130.875,0.0,-3.7249283667621778,94.0,40.82774049217002,85.0,79.0,1668200400000,6,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
28,COP_111822P119,1667591998723,True,OPR,0.91,0,0.884,45.115,26,23,119.0,130.875,0.0,-9.073543457497612,91.0,14.943365327753263,85.0,72.0,1668805200000,13,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
29,COP_111822P120,1667591998943,True,OPR,0.85,0,0.868,44.498,947,49,120.0,130.875,0.0,-8.30945558739255,85.0,17.42153536552329,85.0,72.0,1668805200000,13,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
30,COP_112522P116,1667591996845,True,OPR,0.58,0,0.895,44.522,26,5,116.0,130.875,0.0,-11.3658070678128,57.99999999999999,10.761359694762403,85.0,65.0,1669410000000,20,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
31,COP_112522P120,1667591996848,True,OPR,1.15,0,0.837,42.407,25,7,120.0,130.875,0.0,-8.30945558739255,114.99999999999999,17.65881363062684,85.0,65.0,1669410000000,20,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
32,COP_120222P117,1667591996830,True,OPR,1.35,0,0.854,43.754,6,8,117.0,130.875,0.0,-10.601719197707736,135.0,14.008827480330071,85.0,58.0,1670014800000,27,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
33,COP_120222P120,1667591996831,True,OPR,2.11,0,0.808,42.506,12,8,120.0,130.875,0.0,-8.30945558739255,211.0,19.194651040492825,85.0,58.0,1670014800000,27,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
34,COP_121622P110,1667591998036,True,OPR,1.19,0,0.889,47.36,855,157,110.0,130.875,0.0,-15.950334288443171,119.0,9.570755911546986,85.0,44.0,1671224400000,41,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
35,COP_121622P115,1667591998943,True,OPR,1.86,0,0.837,45.471,2386,113,115.0,130.875,0.0,-12.12989493791786,186.0,14.315637943444287,85.0,44.0,1671224400000,41,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
36,COP_122322P110,1667591996830,True,OPR,1.27,0,0.872,47.358,0,5,110.0,130.875,0.0,-15.950334288443171,127.0,10.583732755707132,85.0,37.0,1671829200000,48,risky,1.0,1.0,1,116.0,114.0,138.0,123.0,c
37,MPC_111122P110,1667591999979,True,OPR,0.4,0,0.883,40.49,121,44,110.0,117.97999999999999,0.0,-6.763858281064579,40.0,20.531180637903255,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
38,MPC_111122P111,1667591999615,True,OPR,0.45,0,0.854,39.706,380,323,111.0,117.97999999999999,0.0,-5.916256992710621,45.0,26.420557365182773,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
39,MPC_111122P112,1667591999669,True,OPR,0.69,0,0.8200000000000001,38.955,60,17,112.0,117.97999999999999,0.0,-5.0686557043566625,69.0,33.313882155788974,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
40,MPC_111822P108,1667591999955,True,OPR,0.68,0,0.852,40.761,50,9,108.0,117.97999999999999,0.0,-8.459060857772496,68.0,18.843572534847702,84.0,71.0,1668805200000,13,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
41,MPC_111822P109,1667591999955,True,OPR,0.77,0,0.827,40.21,53,36,109.0,117.97999999999999,0.0,-7.611459569418537,77.0,22.590329304469687,84.0,71.0,1668805200000,13,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
42,MPC_111822P110,1667591999674,True,OPR,0.99,0,0.8,39.512,485,47,110.0,117.97999999999999,0.0,-6.763858281064579,99.0,26.538708607167816,84.0,71.0,1668805200000,13,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
43,MPC_121622P100,1667591999664,True,OPR,1.11,0,0.877,43.433,208,13,100.0,117.97999999999999,0.0,-15.239871164604162,111.00000000000001,9.81059401130863,84.0,43.0,1671224400000,41,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
44,MPC_121622P105,1667591998883,True,OPR,1.87,0,0.806,41.304,153,12,105.0,117.97999999999999,0.0,-11.001864722834371,187.0,15.790892133986766,84.0,43.0,1671224400000,41,risky,1.0,1.0,1,104.0,103.0,119.0,110.0,c
45,MCK_111122P377.5,1667591998305,True,OPR,1.44,0,0.848,33.825,2,10,377.5,389.25,0.0,-3.0186255619781632,144.0,12.919210689319529,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,384.0,382.0,401.0,399.0,c
46,MCK_111122P380,1667591998136,True,OPR,2.43,0,0.8260000000000001,32.072,208,89,380.0,389.25,0.0,-2.3763648041104686,243.00000000000003,16.855785723710255,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,384.0,382.0,401.0,399.0,c
47,MCK_111122P382.5,1667591996937,True,OPR,2.88,0,0.802,30.082,63,75,382.5,389.25,0.0,-1.7341040462427744,288.0,22.347590308755354,84.0,78.0,1668200400000,6,risky,1.0,1.0,1,384.0,382.0,401.0,399.0,c
48,MCK_112522P360,1667591995617,True,OPR,2.25,0,0.888,34.665,2,5,360.0,389.25,0.0,-7.514450867052023,225.0,5.593480078016161,84.0,64.0,1669410000000,20,risky,1.0,1.0,1,384.0,382.0,401.0,399.0,c
49,MCK_112522P365,1667591996970,True,OPR,2.9,0,0.863,33.334,2,5,365.0,389.25,0.0,-6.229929351316635,290.0,7.278916242607618,84.0,64.0,1669410000000,20,risky,1.0,1.0,1,384.0,382.0,401.0,399.0,c
50,NDAQ_121622P55,1667591999838,True,OPR,0.5,0,0.865,33.05,425,24,55.0,61.835,0.0,-11.053610414813617,50.0,6.5219333512016435,77.0,36.0,1671224400000,41,risky,1.0,1.0,1,55.0,57.0,62.0,60.0,c
51,GWW_111822P560,1667591998388,True,OPR,4.84,0,0.813,33.297,9,23,560.0,593.64,0.0,-5.666734047570916,484.0,16.643406889499936,86.0,73.0,1668805200000,13,risky,1.0,1.0,1,572.0,504.0,603.0,601.0,c
